Estimate summary,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,
0,8939.7,107276.4,USD,,,,,
,,* Includes upfront cost,,,,,,
,,,,,,,,
,,,,,,,,
Detailed Estimate,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,257.85,3094.2,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,S3 Standard,0,114.98,1379.76,USD,S3 Standard storage (4999 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,526.48,6317.76,USD,"Data transfer out to internet (5000 GB per month), Data transfer out to origin (4999 GB per month), Number of requests (HTTPS) (1500000 per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,6390.92,76691.04,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (5000 GB), Quantity (2), Instance type (db.m4.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,1032.62,12391.44,USD,"Operating system (Linux), Quantity (16), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t4g.xlarge)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,616.85,7402.2,USD,Number of Application Load Balancers (2)
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
,,,,,,,,
Notes,,,,,,,,
"2 Amazon RDS Mysql databases, 1 active and 1 replica running in 2 availability zones",,,,,,,,
"4 Webservers running in EC2 instances, 2 instance in each availability zone",,,,,,,,
"4 App servers running in EC2 instances, 2 instance in each availability zone",,,,,,,,
